username	agent	style	Accurate	Could not understand/answer	Disliked everything	Easy to understand	Easy to use	Fast	Impersonal/Fixed text	Interaction too long	Interaction too short	Liked language style	disliked_nothing
96554bef85eff367e50863e7f47a2d	cts	ling_ad	1	1	0	0	0	0	1	0	0	0	0
9c684c2c6abb202ee607c3e38df6d6	cts	ling_ad	0	0	0	0	1	1	0	1	0	0	0
065a377639d60e104cfdd66f68e1db	cts	ling_ad	0	0	0	0	0	1	1	0	0	0	0
a655c0da4993eff5332735d36d1338	cts	ling_ad	0	0	0	0	0	1	0	0	0	0	1
4beb52d8d9ec24085669500b03e4dc	cts	ling_ad	0	0	0	0	0	0	0	1	0	1	0
52294614b51ef6bf0986ea3aad6788	cts	ling_ad	0	0	0	0	0	1	0	0	0	0	0
6d44179da1563592c5e344b692971e	faq	ling_ad	0	0	0	0	1	0	0	1	0	0	0
9ca122597c1202b50061404326cd1d	faq	ling_ad	0	0	0	0	0	1	0	0	0	0	1
c334bbab21038ec5b0e8ef2532ca98	faq	ling_ad	0	1	0	0	1	0	0	0	0	0	0
dd245671ec7246a2ddf0308bf900ed	faq	ling_ad	0	1	0	0	0	1	0	0	1	0	0
7bc26d20092c35be168b3c702b3ff5	faq	ling_ad	0	1	0	0	0	1	0	0	0	0	0
b8e63eafb8b739a9afbdc07936e3d9	faq	ling_ad	0	0	0	0	0	1	0	0	1	0	0
0f7453ed7e2a7d60350698c1343c32	faq	ling_ad	0	0	0	1	0	0	0	0	0	0	1
de6c54120f63fc4a569c1735655b4e	faq	ling_ad	0	0	0	0	0	1	0	0	0	0	0
be07cc2f28ed5eafa09a432ff5f14c	faq	ling_ad	0	0	0	0	1	0	0	0	0	0	0
70dc75e8c252d187be492c1be79b33	faq	ling_ad	0	1	0	0	0	1	0	0	0	0	0
7981a2cb007ba83846ba25c00b163f	faq	ling_ad	0	1	0	0	0	0	0	0	0	1	0
430de41a3e698669b0b72ac6369fdd	faq	ling_ad	0	1	0	0	0	0	0	0	0	0	0
9a2703aa0688484505f242f8bbf8d1	faq	ling_ad	0	1	0	0	0	0	0	0	0	0	0
373292acc466b7540b4da32575227f	faq	ling_ad	1	0	0	0	0	1	0	0	1	0	0
7252eaa5da52fa0e0c9a7146d2c78b	faq	ling_ad	0	1	0	0	1	0	0	0	0	0	0
88be59647581deb262307b4ba42c67	faq	ling_ad	0	0	0	0	1	0	0	0	0	0	1
4c56b791532b2baae6b7eba1a8af9b	faq	ling_ad	0	0	0	1	0	0	0	0	0	0	1
39f64ccdabe4372ed615752f572e41	faq	ling_ad	0	1	0	0	0	0	0	0	0	1	0
997737fd3e5a316e16a9fe575c3c94	faq	ling_ad	1	1	0	1	0	0	0	0	0	0	0
13c8e631cc837d9daaf64eb658a0f4	faq	ling_ad	0	0	0	1	0	0	0	0	0	0	1
2c956e456918b2d8207b052c82e8d9	faq	ling_ad	0	0	0	0	1	1	0	0	0	0	1
7b86ffdd1f544b2ff30b86ba8b8c25	faq	ling_ad	0	0	0	0	1	0	0	0	0	0	1
bdd856b672ac99f02096f1b0fd6b03	hdc	ling_ad	0	0	0	0	0	0	0	1	0	0	0
562db0d432a4918a3e2b4fc1ab0ac9	hdc	ling_ad	0	0	0	0	1	0	0	0	1	1	0
b31abe70f9457ba9f13dd77ae3863a	hdc	ling_ad	0	0	0	0	0	1	1	0	0	0	0
b284d3f286ce58f9587ec7c8bdc73c	hdc	ling_ad	0	1	0	0	0	0	0	0	0	0	0
daddc76437d328b08c7c776782eb34	hdc	ling_ad	0	0	0	0	1	1	0	0	0	0	1
ece2aa21ec41b1a612611f32724525	hdc	ling_ad	0	0	0	0	0	1	0	1	0	0	0
5b180aecb48b50aa0900c791e31b7e	hdc	ling_ad	1	0	0	0	0	1	0	0	0	0	1
10fd97013def5584b50f75bf176ff9	hdc	ling_ad	0	0	0	0	0	1	1	1	0	0	0
36b2e74b2308778203e6aa1a67d368	hdc	ling_ad	0	1	0	0	0	0	0	0	0	0	0
da23555b7f227184db93069b8fe90d	hdc	ling_ad	0	0	0	0	0	1	0	0	0	0	1
f666f28aaa150b0282e569cdafa469	hdc	ling_ad	1	0	0	0	0	0	0	0	0	0	1
6a545b2723bb8f31b6bbe95a2fd2e8	hdc	ling_ad	0	0	0	0	0	1	0	0	0	0	1
30290a9c9bcd2bf161eb4c945c2281	hdc	ling_ad	0	0	0	0	0	0	0	0	0	0	0
bef4f95c2e4d20aa7762ff58cea744	hdc	ling_ad	0	0	0	0	0	0	0	0	0	1	0
85f5482a7b17efbf91e92f3aeafa23	hdc	ling_ad	0	0	0	0	0	0	0	1	0	0	0
5037c79044cefc022ea4be342d1fb3	hdc	ling_ad	0	1	0	0	0	0	1	0	0	1	0
46ec81c0f5b71b6c29ab9ab3dc6c99	hdc	ling_ad	0	1	0	0	0	1	0	0	0	0	0
362db4eff5c339f4119679dd8a63ec	hdc	ling_ad	0	1	0	1	0	0	0	0	0	0	0
3430e4045ec89d661a7f4d1d9fa659	hdc	ling_ad	0	0	1	0	0	0	0	0	0	0	0
2455f27c8aed531cb2046b35a292f8	hdc	ling_ad	0	1	0	1	0	1	0	0	0	0	0
680364a9f4d189548e98bc745564ec	hdc	ling_ad	0	0	0	0	0	1	1	0	0	0	0
